Index,Family
88.0,compositae
89.01,donatiaceae
89.01,stylidiaceae
9.0,sarraceniaceae
90.01,goodeniaceae
90.03,emblingiaceae
91.01,campanulaceae
91.01,sphenocleaceae
91.02,pentaphragmataceae
93.01,ericaceae
93.03,clethraceae
95.0,epacridaceae 
95.0,epacridaceae
96.0,diapensiaceae
97.0,lennoaceae
98.0,plumbaginaceae
99.0,primulaceae
99.01,lecythidaceae
99.02,actinidiaceae
999.99,family
nan,haptanthaceae
