genus name,family number,genus number
geropogon l.,169,162
geum l.,80,17
girgensohnia bunge,48,28
gladiolus l.,188,10
glaucium miller,56,5
glaux l.,135,11
glechoma l.,151,19
gleditsia l.,81,3
glinus l.,53,2
globularia l.,155,1
glossopappus g. kunze,169,78
glyceria r. br.,193,42
glycine willd.,81,47
glycyrrhiza l.,81,41
gomphocarpus r. br.,143,3
goniolimon boiss.,136,6
gonocytisus spach,81,19
goodyera r. br.,203,9
gossypium l.,106,11
grafia reichenb.,129,38
grindelia willd.,169,2
groenlandia gay,177,2
guillonea cosson,129,97
guiraoa cosson,68,106
guizotia cass.,169,40
gunnera l.,124,1
gymnadenia r. br.,203,15
gymnocarpium newman,19,3
gymnospermium spach,63,2
gymnostyles juss.,169,87
gynandriris pari.,188,4
gypsophila l.,57,31
haberlea friv.,159,1
hackelia opiz,148,31
hainardia w. greuter,193,98
hakea schrader,41,1
halenia borkh.,140,9
halimione aellen,48,7
halimium dunal,,
halimocnemis c. a. meyer,48,33
halocnemum bieb.,48,19
halogeton c. a. meyer,48,34
halophila thouars,172,10
halostachys c. a. meyer,48,18
haloxylon bunge,48,30
hammarbya o. kuntze,203,35
hammatolobium fenzl,81,67
haplophyllum a. juss.,88,2
hebe commerson,154,22
hedychium koenig,201,1
hedypnois miller,169,154
hedysarum l.,81,70
heleochloa host,193,123
helianthemum miller,112,4
helianthus l.,169,45
helichrysum miller,169,24
helictotrichon besser,193,61
heliopsis pers.,169,51
heliotropium l.,148,2
helleborine miller,203,2
helleborus l.,61,1
hemarthria r. br.,193,153
hepatica miller,61,15
heptaptera margot  reuter,129,53
herminium guett.,203,11
hermodactylus miller,188,2
herniaria l.,57,16
hesperis l.,68,20
heteranthemis schott,169,67
heteropogon pers.,193,151
himantoglossum koch,203,26
hippocrepis l.,81,66
hirschfeldia moench,68,93
hladnikia reichenb.,129,48
holosteum l.,57,8
homogyne cass.,169,91
honkenya ehrh.,57,4
hordelymus jessen,,
hordeum l.,193,57
horminum l.,151,39
hornungia reichenb.,68,71
hottonia l.,135,6
huetia boiss.,129,23
hugueninia reichenb.,68,5
humulus l.,39,1
huperzia bernh.,1,1
hutchinsia r. br.,68,69
hutera porta,68,94
hyacinethella schur,183,34
hyacinthoides medicus,183,28
hyacinthus l.,183,30
hydrilla l. c. m. richard,172,6
hydrocharis l.,172,1
hydrocotyle l.,129,1
hymenocarpus savi,81,61
hymenophyllum sm.,15,1
hyoscyamus l.,152,5
hyoseris l.,169,153
hypecoum l.,66,8
hypericum l.,109,1
hypochoeris l.,169,158
iberis l.,68,77
ifloga cass.,169,14
ilex l.,99,1
illecebrum l.,57,17
impatiens l.,98,1
imperata cyr.,193,144
inula l.,169,31
ionopsidium reichenb.,68,72
ipheion rafin.,183,41
ipomoea l.,146,6
iris l.,188,3
isnardia l.,123,4
isoetes l.,3,1
isopyrum l.,61,7
iva l.,169,48
ixia l.,188,5
jankaea boiss.,159,3
jasione l.,168,13
jasminum l.,139,1
jasonia cass.,169,35
jovibarba opiz,72,7
juncus l.,189,1
juniperus l.,28,5
jurinea cass.,169,116
jussiaea l.,123,4
kalidium moq.,48,16
kalmia l.,132,8
karelinia less.,169,12
kernera medicus,68,64
kickxia dumort.,154,16
kitaibela willd.,106,2
kleinia miller,169,98
knautia l.,167,6
kobresia willd.,199,11
kochia roth,48,13
koeleria pers.,193,68
koelpinia pallas,169,152
koenigia l.,47,1
kosteletzkya c. presi,106,14
krascheninnikovia gueldenst.,48,8
kundmannia scop.,129,42
laburnum fabr.,81,8
lactuca l.,169,169
lafuentea lag.,154,25
lagarosiphon harvey,172,7
lagotis gaertner,154,19
lamarckia moench,193,29
lamium l.,151,11
lampranthus n. e. br.,52,7
lantana l.,149,2
lapiedra lag.,185,5
