Genus Name,Family,Genus
Iris L.,188,3
Isnardia L.,123,4
Isoetes L.,3,1
Isopyrum L.,61,7
Iva L.,169,48
Ixia L.,188,5
Jankaea Boiss.,159,3
Jasione L.,168,13
Jasminum L.,139,1
Jasonia Cass.,169,35
Jovibarba Opiz,72,7
Juncus L.,189,1
Juniperus L.,28,5
Jurinea Cass.,169,116
Jussiaea L.,123,4
Kalidium Moq.,48,16
Kalmia L.,132,8
Karelinia Less.,169,12
Kernera Medicus,68,64
Kickxia Dumort.,154,16
Kitaibela Willd.,106,2
Kleinia Miller,169,98
Knautia L.,167,6
Kobresia Willd.,199,11
Kochia Roth,48,13
Koeleria Pers.,193,68
Koelpinia Pallas,169,152
Koenigia L.,47,1
Kosteletzkya C. Presi,106,14
Krascheninnikovia Gueldenst.,48,8
Kundmannia Scop.,129,42
Laburnum Fabr.,81,8
Lactuca L.,169,169
Lafuentea Lag.,154,25
Lagarosiphon Harvey,172,7
Lagotis Gaertner,154,19
Lamarckia Moench,193,29
Lamium L.,151,11
Lampranthus N. E. Br.,52,7
Lantana L.,149,2
Lapiedra Lag.,185,5
Lappula Gilib.,148,31
Larix Miller,26,5
Lapsana L.,169,177
Laser Borkh.,129,95
Laserpitium L.,129,98
Lasiagrostis Link,193,106
Lasiopogon Cass.,169,25
Lathyrus L.,81,51
Launaea Cass.,169,164
Laurentia Adanson,168,15
Laurus L.,65,1
Lavatera L.,106,6
Ledum L.,132,6
Leersia Swartz,193,130
Legousia Durande,168,5
Lembotropis Griseb.,81,11
Lens Miller,81,50
Leontice L.,63,1
Leonurus L.,151,13
Lepidium L.,68,80
Lepidophorum Cass.,169,76
Lepidotis Beauv.,1,2
Leptolax O. E. Schultz,68,47
Lereschia Boiss.,129,65
Leucanthemella Tzvelev,169,70
Leucanthemum Miller,169,81
Leucojum L.,185,3
Leucorchis E. H. F. Meyer,203,16
Levisticum Hill,129,81
Leycesteria Wall.,164,5
Leysera L.,169,30
Libanotis Hill,129,32
Ligularia Cass.,169,97
Ligustrum L.,139,6
Lilium L.,183,24
Limodorum Boehmer,203,4
Limonium Miller,136,5
Linaria Miller,154,14
Lindernia All.,154,2
Linnaea L.,164,4
Linum L.,86,1
Liparis L. C. M. Richard,203,33
Lippia L.,149,4
Liriodendron L.,64,1
Lithodora Griseb.,148,7
Lithospermum L.,148,4
Littorella Bergius,163,2
Litwinowia Woronow,68,35
Lobularia Desv.,68,56
Logfia Cass.,169,65
Loiseleuria Desv.,132,9
Lomatogonium A. Braun,140,7
Lonas Adanson,169,64
Lonicera L.,164,6
Lophochloa Reichenb.,193,69
Loranthus L.,43,1
Loretia DuvalJouve,193,57551936
Lotus L.,81,59
Lupinus L.,81,28
Luronium Rafin.,170,3
Lycium L.,152,2
Lycocarpus O. E. Schulz,68,2
Lycopersicon Miller,152,11
Lycopodium L.,1,3
Lycopsis L.,148,21
Lygos Adanson,81,20
Lysichiton Schott,195,3
Lysimachia L.,135,8
Lythrum L.,119,1
Macrosyringion Rothm.,154,30
Mahonia Nutt.,63,6
Maianthemum Weber,183,43
Malabaila Hoffm.,129,93
Malus Miller,80,27
Malva L.,106,5
Malvella Jaub.  Spach,106,4
Mandragora L.,152,12
Mantisalca Cass.,169,135
Maresia Pomel,68,23
Marrubium L.,151,5
Matricaria L.,169,60
Matteuccia Tod.,18,5
Matthiola R. Br.,68,29
Mattiastrum Boiss.,,
Maytenus Molina,100,2
Meconopsis Vig.,66,2
Medicago L.,81,56
Melampyrum L.,154,27
Melanoselinum Hoffm.,129,101
Melia L.,91,1
Melilotus Miller,81,54
Menyanthes L.,141,1
Mercurialis L.,87,4
Merenderà Ramond,183,18
Mertensia Roth,148,25
Mesembryanthemum L.,52,4
Mespilus L.,80,33
Meum Miller,129,45
Mibora Adanson,193,34
Micromeria Bentham,151,29
Micropus L.,169,18
Micropyrum Link,193,9
Microrhynchus Less.,169,164
Microstylis Nutt.,,
Middendorfia Trautv.,119,1
Mimulus L.,154,5
Minaea Lojac.,68,72
Mirabilis L.,50,2
